,mzp,mdh,mdm,gq,gx,exp,obs
122,1597.0,161.0,153.0,0.25,1.295689758382537,,
123,1602.0,135.0,530.0,0.25,0.17506152887014503,3.81752798523e+25,
124,1607.0,138.0,519.0,0.25,1.3911769931937064,0.118777170251,0.174593411408
125,1612.0,110.0,758.0,0.25,3.2655678935064723,0.0242366504928,0.0273874945205
126,1617.0,162.0,129.0,0.25,3.0306325860504777,,
127,161.0,161.0,140.0,0.25,0.12138127873672785,3.80754082682e+80,
128,1622.0,56.0,718.0,0.25,0.33554839752473414,30082841416.2,
129,1627.0,116.0,132.0,0.25,0.1150775713466475,,
130,1636.0,118.0,1052.0,0.25,1.592417613206149,29.2343642544,30.9200179631
131,1641.0,107.0,223.0,0.25,0.3746461538707431,2.63331989701,2.86854889416
132,1646.0,102.0,197.0,0.25,1.957099559090984,0.00821349116762,0.00901285508739
133,1651.0,100.0,576.0,0.25,0.30053085002512175,36.459043343,310.525321623
134,1656.0,92.0,1152.0,0.25,0.35017407138545514,1.70321361861e+75,
135,1661.0,129.0,445.0,0.25,0.5618818912229903,2.03156328992,2.10725212766
136,1666.0,89.0,307.0,0.25,2.7532360748729023,0.00512291152836,0.00532113126906
137,166.0,106.0,123.0,0.25,0.19476582656682223,4.74220623716e+23,
138,1671.0,166.0,1147.0,0.25,0.8731914468646054,4.03692060765e+73,
139,1676.0,88.0,534.0,0.25,2.6195488321730953,0.0131621288916,0.0135482830544
140,1681.0,55.0,431.0,0.25,0.5441873262403946,2.02836148047,4.64498196424
141,1686.0,113.0,643.0,0.25,0.9015837707092944,0.676161494692,0.72741025142
142,1691.0,115.0,862.0,0.25,0.43808690570084774,,
143,1696.0,100.0,444.0,0.25,0.8219782315617721,0.400613001489,0.41777919444
144,1701.0,129.0,548.0,0.25,3.493783667835554,0.0075685245992,0.00787220987584
145,1706.0,99.0,636.0,0.25,0.1607433754809835,,
146,1711.0,72.0,567.0,0.25,0.21136171459258438,,
147,1716.0,85.0,607.0,0.25,0.20763759173571517,,
148,1721.0,151.0,1198.0,0.25,0.11881938499434912,,
149,1726.0,169.0,412.0,0.25,2.77288326978912,,
150,1731.0,112.0,1040.0,0.25,0.4123928392924207,1.66520702035e+57,
151,1735.0,144.0,288.0,0.25,0.31140798197998415,15.3855918465,19.2865264395
152,1740.0,106.0,154.0,0.25,2.013564118158586,0.00746814877652,0.00837808291289
153,1745.0,93.0,704.0,0.25,0.302675449335972,,
154,1755.0,147.0,170.0,0.25,2.935193088764812,0.00763548236521,0.0104571522237
155,1760.0,119.0,614.0,0.25,0.11839769080325652,7.23726632508e+46,
156,1765.0,129.0,563.0,0.25,0.20397908668044157,1.08646756634e+20,
157,176.0,75.0,571.0,0.25,0.24980292620684746,2.98442973403e+25,
158,1770.0,59.0,938.0,0.25,0.23018867676802304,,
159,1775.0,82.0,1051.0,0.25,1.054253567691521,42344929435600.0,
160,1780.0,128.0,941.0,0.25,0.10089279890110785,,
161,1785.0,136.0,615.0,0.25,0.3092015085279329,215515.195057,
162,1790.0,91.0,1067.0,0.25,0.17015243660523488,,
